%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
83231.22,301.612,0.961,0.374,0.067,-0.104,-2.702,-0.557,1.284,1.359,1.298,-2.179,-1.281,-2.568,0.224,2.088,4.12,-2.336,3.35,2.198,0.727,-0.45,-8.05,0.175,-0.576,0.002,535.048,336.269
83215.095,301.609,0.961,0.796,0.304,0.216,-3.459,-0.557,1.82,1.673,1.19,-1.141,-2.136,-2.14,0.112,1.461,4.015,-2.23,4.188,1.884,0.727,0.113,-8.03,0.194,-0.556,0.002,535.048,336.269
83219.126,301.61,0.961,0.552,0.146,0.216,-3.783,-0.334,2.141,1.777,1.081,-0.83,-1.922,-2.782,0.336,2.192,3.909,-1.805,4.397,2.617,0.727,0.113,-8.071,0.137,-0.576,0.001,535.048,336.269
83223.158,301.61,0.961,0.685,0.225,0.056,-2.594,-1.672,1.927,2.3,1.298,-1.349,-1.602,-2.247,0.224,1.461,3.909,-2.443,4.293,2.407,0.623,-0.45,-8.061,0.175,-0.556,0.002,535.048,336.269
83223.158,301.609,0.961,0.552,0.146,0.216,-2.486,-0.223,1.07,2.091,1.622,-1.868,-1.815,-1.926,0.671,2.401,3.698,-2.124,3.141,2.303,0.415,0,-8.05,0.156,-0.576,0.002,535.048,336.269
83219.126,301.607,0.961,0.552,0.146,-0.104,-3.026,-0.892,1.713,1.464,1.514,-1.142,-2.883,-2.461,0.336,1.983,4.015,-2.336,3.664,1.779,0.831,0,-8.04,0.175,-0.566,0.002,535.048,336.269
83227.189,301.61,0.961,0.552,0.146,-0.104,-3.134,-0.557,2.141,1.882,0.973,-1.142,-1.495,-2.889,0.336,1.67,4.226,-1.805,3.979,2.407,-0.207,-0.225,-8.04,0.137,-0.566,0.002,535.048,336.269
83227.189,301.612,0.961,0.374,0.067,0.216,-2.702,-1.226,1.07,1.777,1.622,-1.245,-1.708,-2.354,-0.335,1.566,3.909,-2.867,4.188,2.617,0.934,-0.675,-8.04,0.156,-0.576,0.002,535.048,336.269
83223.158,301.612,0.961,0.796,0.304,0.216,-2.918,-0.669,1.177,1.777,0.541,-1.349,-1.602,-2.568,0.895,1.148,4.12,-2.23,3.769,1.989,0.727,-0.225,-8.05,0.175,-0.556,0.002,535.048,336.269
83223.158,301.612,0.961,0.552,0.146,0.216,-2.702,-0.669,1.606,0.941,1.19,-1.245,-1.922,-2.782,0.336,1.879,3.592,-2.443,4.293,1.989,1.038,-0.113,-8.04,0.175,-0.576,0.002,535.048,336.269
83227.189,301.614,0.961,0.552,0.146,0.056,-3.459,-0.892,1.284,2.091,0.216,-0.934,-1.815,-2.675,0.447,2.296,3.909,-2.23,4.188,2.407,0,-0.45,-8.03,0.156,-0.576,0.002,535.048,336.269
