%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
83255.409,301.704,0.961,0.395,0.075,0.336,-3.459,-0.557,1.391,1.046,0.865,-1.038,-1.602,-2.354,-0.112,1.879,3.909,-2.443,4.188,1.779,0.519,-0.225,-20.086,0.098,-1.228,0.005,535.048,336.269
83251.377,301.699,0.961,0.395,0.075,0.016,-2.918,-0.892,1.713,1.987,0.649,-1.349,-1.602,-2.568,-0.223,2.088,4.543,-2.549,3.560,2.303,0.104,-0.000,-20.096,0.060,-1.218,0.005,535.048,336.269
83247.346,301.699,0.961,0.395,0.075,-0.144,-3.242,-1.003,2.355,1.882,0.973,-2.180,-1.815,-2.033,-0.781,1.670,3.803,-2.443,4.293,2.198,1.246,-0.563,-20.086,0.041,-1.228,0.004,535.048,336.269
83255.409,301.701,0.961,0.000,-0.004,0.176,-2.918,-0.223,1.391,1.777,0.973,-0.623,-2.029,-2.461,0.671,1.148,4.754,-2.124,4.502,2.617,0.934,1.128,-20.096,0.041,-1.239,0.005,535.048,336.269
83251.377,301.701,0.961,0.000,-0.083,-0.144,-2.810,-0.334,2.034,1.673,1.298,-0.519,-0.641,-2.461,0.224,2.401,3.698,-1.593,4.397,2.303,1.142,0.338,-20.086,0.060,-1.228,0.004,535.048,336.269
83259.440,301.699,0.961,0.395,0.075,0.016,-2.594,-0.780,1.499,2.300,0.757,-1.349,-1.495,-2.354,0.447,1.774,4.543,-2.336,3.979,2.721,1.142,0.226,-20.096,0.021,-1.239,0.004,535.048,336.269
83255.409,301.699,0.961,0.395,0.075,-0.304,-2.378,-0.111,1.820,2.196,1.622,-1.764,-1.495,-1.926,0.559,1.879,4.860,-1.487,4.083,2.826,1.453,-0.338,-20.107,0.079,-1.239,0.005,535.048,336.269
83259.440,301.704,0.961,0.566,0.154,-0.144,-2.918,-0.334,1.606,1.777,1.298,-0.623,-1.495,-1.712,1.230,1.357,3.909,-1.699,4.397,2.512,1.038,0.226,-20.086,0.079,-1.218,0.004,535.048,336.269
83243.315,301.701,0.961,0.000,-0.004,0.176,-3.351,-0.111,1.927,1.987,1.406,-0.830,-0.641,-2.889,0.224,3.027,4.226,-1.805,4.293,2.407,1.350,0.226,-20.096,0.079,-1.228,0.004,535.048,336.269
83255.409,301.699,0.961,0.000,-0.083,-0.624,-1.729,-1.449,1.606,2.091,1.190,-0.934,-1.602,-1.712,-0.112,1.879,4.226,-2.974,4.293,3.035,0.623,0.226,-20.086,0.060,-1.249,0.004,535.048,336.269
83255.409,301.697,0.961,0.000,-0.004,0.016,-2.810,-0.334,1.177,2.196,1.730,-1.661,-1.602,-2.354,1.007,2.505,4.437,-1.593,3.979,2.512,1.246,-0.563,-20.096,0.079,-1.239,0.005,535.048,336.269
83255.409,301.699,0.961,0.000,-0.004,-0.304,-2.702,-0.223,2.141,1.464,0.865,-1.038,-2.990,-2.354,0.671,1.148,4.120,-2.018,4.397,1.675,0.415,0.113,-20.086,0.060,-1.218,0.004,535.048,336.269
83263.472,301.701,0.961,0.000,-0.083,0.176,-3.675,-0.669,1.391,1.673,0.865,-1.349,-1.495,-2.675,-0.112,1.566,3.698,-2.018,4.188,2.826,0.831,-0.225,-20.117,0.021,-1.228,0.004,535.048,336.269
