%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
81779.919,302.383,0.942,0.920,0.399,-0.344,-2.918,-2.341,0.642,1.255,0.324,-2.075,-2.136,-3.424,-0.447,1.252,3.170,-3.292,3.037,1.884,-0.311,-1.013,-7.089,0.012,-0.464,0.001,535.048,336.269
81783.950,302.378,0.942,0.715,0.241,-0.344,-3.459,-2.118,0.963,1.045,1.190,-2.179,-2.029,-2.675,-1.005,1.461,3.170,-2.548,3.560,1.465,-0.104,-1.688,-7.069,-0.007,-0.454,0.001,535.048,336.269
81779.919,302.380,0.942,0.824,0.320,-0.344,-3.026,-1.337,0.642,1.045,0.865,-1.660,-2.349,-2.996,-0.893,-0.000,3.486,-2.548,3.456,2.093,0.000,-0.338,-7.089,-0.026,-0.464,0.001,535.048,336.269
81779.919,302.380,0.942,0.586,0.162,-0.504,-3.783,-1.895,1.178,1.046,0.433,-1.349,-1.815,-3.103,-0.670,1.252,2.324,-3.079,3.142,1.675,-0.104,-1.125,-7.079,0.012,-0.474,0.001,535.048,336.269
81775.888,302.375,0.942,0.824,0.320,-0.504,-3.351,-2.341,1.178,1.359,0.757,-1.868,-2.242,-2.461,-1.116,1.148,3.275,-3.504,3.875,1.675,0.208,-0.675,-7.079,-0.007,-0.464,0.001,535.048,336.269
81779.919,302.375,0.942,0.586,0.162,-0.664,-3.026,-1.003,0.428,0.732,0.757,-2.490,-1.602,-2.675,0.112,0.209,2.958,-2.655,2.409,1.256,0.208,-1.125,-7.079,0.012,-0.464,0.001,535.048,336.269
81779.919,302.378,0.942,0.586,0.162,-0.664,-3.783,-1.560,1.070,0.627,0.324,-1.349,-2.776,-2.889,-0.112,0.626,3.170,-3.079,3.979,1.151,-0.104,-1.238,-7.089,-0.007,-0.464,0.001,535.048,336.269
81775.888,302.376,0.942,0.920,0.399,-0.664,-3.891,-1.672,0.428,1.046,0.216,-1.660,-2.242,-3.531,-0.335,0.939,3.486,-3.504,3.456,2.198,-0.207,-1.238,-7.069,0.012,-0.444,0.001,535.048,336.269
81771.856,302.375,0.942,0.715,0.241,-0.985,-3.351,-2.006,-0.107,0.836,1.190,-2.075,-2.563,-2.568,-1.451,1.044,3.381,-2.973,3.351,1.988,-0.104,-1.913,-7.089,0.012,-0.464,0.002,535.048,336.269
81775.888,302.376,0.942,0.715,0.241,-0.664,-3.134,-1.226,-0.107,0.941,0.865,-2.179,-2.349,-3.317,0.224,0.209,3.381,-2.761,3.037,1.151,0.104,-0.675,-7.069,-0.007,-0.444,0.000,535.048,336.269
81771.856,302.373,0.942,0.824,0.320,-0.664,-4.323,-1.672,0.856,1.255,0.216,-2.179,-2.029,-3.103,-0.335,0.835,2.535,-2.655,3.142,1.570,-0.415,-1.125,-7.069,-0.007,-0.464,0.002,535.048,336.269
81779.919,302.373,0.942,0.920,0.399,-0.664,-3.134,-2.563,0.535,1.046,0.649,-1.764,-2.456,-3.103,-0.446,0.939,3.275,-3.504,3.770,2.093,-0.104,-1.351,-7.069,-0.007,-0.464,0.000,535.048,336.269
81779.919,302.376,0.942,0.920,0.399,-0.985,-3.459,-1.449,0.428,0.941,0.541,-2.490,-2.776,-2.568,-0.670,1.148,3.169,-3.186,2.722,1.570,-0.207,-1.351,-7.079,-0.007,-0.454,0.001,535.048,336.269
81783.950,302.376,0.942,0.586,0.162,-0.664,-3.351,-1.895,0.535,0.627,0.541,-1.764,-3.203,-2.889,-0.781,0.939,3.380,-3.398,3.769,0.733,0.623,-0.900,-7.069,-0.007,-0.464,0.001,535.048,336.269
81771.856,302.373,0.942,0.920,0.399,-0.824,-3.567,-1.672,0.749,1.150,0.541,-2.179,-1.815,-3.638,-0.893,1.044,3.275,-3.079,2.618,2.198,-0.829,-1.013,-7.058,-0.007,-0.434,0.001,535.048,336.269
81779.919,302.373,0.942,0.824,0.320,-0.824,-3.459,-2.229,0.535,1.046,0.433,-2.386,-2.349,-2.996,-0.670,0.939,3.275,-3.186,2.618,1.570,0.415,-1.125,-7.079,0.012,-0.454,0.001,535.048,336.269
81775.888,302.373,0.942,0.586,0.162,-0.985,-3.350,-1.226,-0.107,1.046,0.973,-1.660,-2.349,-2.996,-0.335,-0.000,3.380,-2.973,3.455,1.674,0.104,-0.788,-7.079,-0.007,-0.454,0.001,535.048,336.269
81775.888,302.375,0.942,0.824,0.320,-0.664,-3.242,-2.006,0.963,0.314,0.865,-1.660,-2.136,-2.996,-0.670,1.357,2.324,-3.292,3.455,1.570,0.104,-1.013,-7.089,-0.007,-0.454,0.001,535.048,336.269
81779.919,302.372,0.942,0.715,0.241,-0.664,-3.134,-1.337,0.749,1.150,0.324,-1.764,-1.815,-2.461,-0.335,1.774,4.120,-3.610,3.665,2.407,0.104,-1.013,-7.069,-0.007,-0.454,0.001,535.048,336.269
81783.950,302.375,0.942,0.715,0.241,-0.664,-3.242,-0.780,1.178,1.045,0.757,-2.075,-1.815,-2.461,-0.335,1.461,3.169,-2.124,2.932,1.779,0.415,-1.125,-7.100,-0.026,-0.444,0.002,535.048,336.269
81775.888,302.376,0.942,0.715,0.241,-0.504,-3.026,-2.118,1.177,1.359,1.081,-1.349,-1.922,-2.568,-1.116,0.626,3.592,-3.717,3.769,2.093,0.104,-0.900,-5.028,-0.046,-0.342,0.002,535.048,336.269
81775.888,302.373,0.942,0.586,0.162,-0.664,-3.134,-0.892,0.321,1.673,0.541,-1.764,-1.815,-2.568,0.000,0.731,3.380,-2.548,3.350,1.779,-0.415,-0.900,-5.049,-0.084,-0.363,0.001,535.048,336.269
81775.888,302.373,0.942,0.420,0.083,-0.504,-3.566,-1.449,1.392,1.045,1.190,-1.556,-1.708,-2.675,-0.781,1.879,3.275,-2.973,3.979,1.674,1.142,-0.338,-5.028,-0.046,-0.352,0.001,535.048,336.269
81779.919,302.372,0.942,0.420,0.083,-0.504,-3.134,-1.115,1.070,1.987,0.324,-1.453,-2.029,-2.568,-0.112,1.252,3.697,-3.398,3.455,2.198,-0.415,-0.788,-5.028,-0.046,-0.352,0.001,535.048,336.269
81775.888,302.375,0.942,0.420,0.083,-0.664,-3.134,-1.560,1.285,1.568,1.298,-1.971,-2.029,-2.247,-0.223,0.939,3.592,-2.548,3.350,1.884,0.208,-1.801,-5.038,-0.026,-0.342,0.001,535.048,336.269
81783.950,302.376,0.942,0.420,0.083,-0.184,-3.134,-1.003,0.535,1.150,0.757,-1.038,-2.029,-2.675,-0.446,0.522,3.592,-2.761,3.979,1.361,0.415,-0.563,-5.028,-0.046,-0.352,0.001,535.048,336.269
81779.919,302.375,0.942,0.000,-0.233,-0.344,-4.323,-1.003,0.963,1.359,0.433,-1.764,-1.495,-3.424,0.000,1.252,3.169,-2.867,3.979,2.198,-0.104,-0.900,-5.028,-0.026,-0.342,0.001,535.048,336.269
81779.919,302.370,0.942,0.586,0.162,-0.824,-3.134,-2.341,1.392,1.568,0.757,-1.868,-2.349,-1.819,-0.670,1.044,3.380,-3.186,3.979,2.198,0.415,-0.788,-5.038,-0.046,-0.342,0.001,535.048,336.269
81771.856,302.376,0.942,0.420,0.083,-0.344,-3.026,-0.892,0.642,1.568,1.190,-1.349,-2.242,-2.354,0.112,0.731,3.697,-2.655,2.408,1.779,0.311,-0.675,-5.038,-0.026,-0.363,0.001,535.048,336.269
81779.919,302.373,0.942,0.092,0.004,-0.344,-3.458,-1.003,1.285,0.836,1.406,-1.868,-2.669,-2.568,-0.223,1.670,2.746,-2.655,3.560,1.570,0.104,-0.563,-5.007,-0.026,-0.352,0.001,535.048,336.269
81779.919,302.375,0.942,0.092,0.004,-0.504,-3.242,-1.226,1.070,0.941,-0.000,-1.556,-2.136,-2.354,-0.335,1.044,3.803,-3.186,3.141,2.093,-0.622,-1.125,-5.028,-0.026,-0.352,0.000,535.048,336.269
81779.919,302.373,0.942,0.420,0.083,-0.344,-3.026,-1.226,0.963,1.150,1.622,-2.075,-1.602,-2.568,-0.112,1.252,3.908,-3.079,3.350,2.302,0.311,-1.351,-5.017,-0.026,-0.363,0.001,535.048,336.269
81775.888,302.376,0.942,0.420,0.083,-0.504,-3.566,-1.337,0.749,1.150,0.541,-1.453,-2.990,-2.354,0.112,0.626,3.697,-2.867,3.874,1.151,0.415,-0.338,-5.028,-0.007,-0.342,0.001,535.048,336.269
81779.919,302.375,0.942,0.420,0.083,-0.504,-4.323,-1.003,0.856,1.150,1.622,-1.453,-1.708,-3.103,-0.446,1.357,3.063,-3.186,3.350,1.884,0.623,-1.351,-5.007,-0.046,-0.342,0.001,535.048,336.269
81783.950,302.372,0.942,0.092,0.004,-0.344,-2.702,-2.452,0.642,1.359,0.757,-2.075,-2.456,-2.461,-0.781,0.835,3.697,-3.292,3.769,1.988,0.415,-1.013,-5.017,-0.046,-0.342,0.001,535.048,336.269
81775.888,302.373,0.942,0.092,0.004,-0.344,-3.998,-1.115,0.321,0.836,0.649,-1.868,-1.815,-2.782,0.000,0.522,3.275,-2.973,3.141,2.198,0.623,-0.788,-5.017,-0.026,-0.373,0.001,535.048,336.269
81779.919,302.372,0.942,0.420,0.083,-0.184,-3.351,-1.783,1.606,1.046,0.757,-1.556,-2.669,-2.782,-0.223,1.670,2.746,-3.504,3.874,1.256,0.519,-0.900,-5.028,-0.046,-0.352,0.001,535.048,336.269
81775.888,302.373,0.942,0.420,0.083,-0.504,-3.026,-1.783,0.963,1.568,-0.000,-1.660,-2.242,-2.461,-0.781,1.566,3.592,-2.973,3.455,1.570,0.104,-0.563,-5.028,-0.026,-0.352,0.001,535.048,336.269
